CNPJ,Razao Social,Fundacao,Cidade,Apta,Telefone,Email
00114114000162,MASTER SERVICE PRESTACAO DE SERVICOS E EVENTOS LTDA,1994-06-20,SAO PAULO,Sim,(11) 20215134 | (11) 20213456,TELIOTUFIC@GMAIL.COM
00515860000168,TRATE TRABALHO TEMPORARIO LTDA,1995-03-28,BELO HORIZONTE,Nao,(31) 34352671,AMARILDOCONTABEIS@YAHAOO.COM.BR
01253339000324,PARCERIA SERVICOS TEMPORARIOS LIMITADA,2011-05-10,RIO DE JANEIRO,Nao,(21) 25091158 | (21) 22249845,financeiro@parceriaconsult.com.br
00588746000168,J T N S SERVICOS TEMPORARIOS LTDA,1995-04-27,CAMPINAS,Nao,(19) 38129100,ecin@ecin.com.br
00034411000106,C&C LITORAL EMPREITEIRA E ADMINIISTRACAO DE MAO E OBRAS LTDA,1994-10-20,PRAIA GRANDE,Nao,(13) 30175175 | (13) 30175175,valdireneresgate@terra.com.br
00903100000551,TRH SERVICOS E RECURSOS HUMANOS LTDA,1999-08-18,SAO PAULO,Nao,(11) 2597071,trhsp@trh.com.br
01422942000120,REHUTE RECURSOS HUMANOS E TERCEIRIZACAO LTDA,1996-09-06,SAO PAULO,Nao,(11) 34673533 | (11) 34673533,kontacta@terra.com.br
01303685000108,C & L CONSULTORIA E SERVICOS S/C LTDA,1996-06-26,SAO CARLOS,Nao,(16) 33744555,FSPATARA@UOL.COM.BR
01460921000280,XWORK RECURSOS HUMANOS LTDA,2001-05-16,SAO ROQUE,Nao,(15) 32194077,CONTABILIDADE@ESCRITORIOMOREIRA.COM.BR
01197350000152,PONTO DE APOIO SERVICOS TEMPORARIOS LTDA,1996-05-13,SAO PAULO,Nao,(11) 38379280,contato@pcae.com.br
01443771000116,NEW WORK TERCEIRIZACAO E TEMPORARIOS LTDA,1996-09-24,SAO PAULO,Sim,(11) 38193027,nw@nwork.com.br
01046781000118,E. F. S. LOCACOES LTDA,1996-02-05,BAURU,Nao,(14) 32321821,ATENDIMENTO.PANINI@HOTMAIL.COM
01326208000168,MARLENE GRANIG,1996-07-24,GUARULHOS,Sim,(11) 24127499,MARLENE@GRUPOACMS.COM.BR
01188258000398,INOVARHE TRABALHO TEMPORARIO LTDA,2006-09-11,BOTUCATU,Nao,(15) 32711000 | (15) 32711000,contato@fiscolexonline.com.br
00928984000175,PRODOS PARCERIA EM RECURSOS HUMANOS LTDA,1995-11-20,SAO BERNARDO DO CAMPO,Nao,(11) 41230831,FAROLASSESSORIA@TERRA.COM.BR
00160724000100,ASSETEL - RECURSOS HUMANOS LTDA,1994-08-11,SERTAOZINHO,Sim,(16) 39426245,ASSETELRH@YAHOO.COM.BR
00073881000502,VAHR - CONSULTORIA E TERCEIRIZACAO EM TECNOLOGIA LTDA,2016-06-16,SAO PAULO,Sim,(51) 33928323,CARLOS@GLOBALCONTABILIDADE.COM.BR
01003488000173,UNYTERSE SERVICOS EMPRESARIAIS LTDA,1996-01-09,MAUA,Nao,(11) 45150577,UNYTERSE@GMAIL.COM
01264271000117,TREVISAN TERCEIRIZACOES SC LTDA,1996-05-24,BARUERI,Nao,(11) 4212520,TREVIZAN_TERC.@UOL.COM.BR
00261538000150,JFB SERVICOS ESPECIALIZADOS DE MAO DE OBRA EFETIVA LTDA,1994-10-24,RIO DE JANEIRO,Nao,(21) 25173415,primecont@gmail.com
00917629000109,"CAMILO GESTAO DE FROTA,PESSOAS E OBRAS LTDA",1995-08-02,BELO HORIZONTE,Sim,(31) 25665334,INFORTEC.CONTAB@YAHOO.COM.BR
00392429000171,MARCOS SANTOS FERRAZ PIZZARIA,1994-12-27,POA,Nao,(11) 77738453,tchellobarros@hotmail.com
01031953000180,ALPHADREAN HIGIENIZACAO AMBIENTAL LTDA,1996-02-02,BARUERI,Nao,(11) 41414462,jb.contabil@bol.com.br
01134000000147,FEROIZAO TERRAPLANAGEM LTDA,1996-03-27,SAO PAULO,Nao,(11) 34410290 | (11) 34410290,setucontabil@yahoo.com.br
00186472000180,REALMA MANUTENCAO E SERVICOS LTDA,1994-09-09,CONSELHEIRO LAFAIETE,Sim,(31) 37612533,JOEL.MARCOS@REALMA.COM.BR
00186472000423,REALMA MANUTENCAO E SERVICOS LTDA,2008-06-24,ITAGUAI,Sim,(31) 37612533,REALMA.CONTABILIDADE@GMAIL.COM
00186472000261,REALMA MANUTENCAO E SERVICOS LTDA,2006-05-29,CONSELHEIRO LAFAIETE,Nao,(31) 37617635 | (31) 37612533,realmacl@uol.com.br
00973749001278,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-02-11,BAURU,Nao,(11) 33826539 | (11) 33826579,vanessa.oliveira@allis.com.br
01066712000176,SET MODELS AGENCY LTDA,1996-02-29,UBERLANDIA,Nao,(34) 32190689,DIOGENESSOUSA@NETSITE.COM.BR
01474371000178,CONTROLLER - SERVICOS GERAIS EM MAO-DE-OBRA LTDA,1996-10-01,SAO PAULO,Sim,(11) 31064433,luciano@twfcontabilidade.com.br
00573255000143,AGILIZA AGENCIA DE EMPREGOS TEMPORARIOS LTDA,1995-04-19,FRANCA,Sim,(16) 97667663,magno@com4.com.br
01395176001639,RHBRASIL SERVICOS TEMPORARIOS LTDA,2002-08-29,SAO PAULO,Sim,(47) 34314700,CARLA.VENANCIO@RHBRASIL.COM.BR
00196526008416,3778 GESTAO EM SAUDE LTDA,2018-10-10,CAMPOS DOS GOYTACAZES,Sim,(21) 30724234,FRANCIELLI.GODOIS@IMTEP.COM.BR
00078599001743,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2008-11-07,VITORIA,Nao,(31) 21028746 | (31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
